property_id,title,price,address,details_link,image_url,property_type,bedroom_icon,no_of_bedrooms,bathroom_icon,no_of_bathrooms,span_count
149435132,3 bedroom terraced house for sale,"£450,000","Palmerston Street, Romsey, Hampshire",https://www.rightmove.co.uk/properties/149435132#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/149435132/8764_ROM240199_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
145499750,4 bedroom detached house for sale,"£1,500,000","Belbins, Romsey, Hampshire",https://www.rightmove.co.uk/properties/145499750#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/145499750/8764_ROM220428_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
150269429,4 bedroom detached house for sale,"£1,100,000","Canada Road, West Wellow, Romsey, Hampshire",https://www.rightmove.co.uk/properties/150269429#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/150269429/8764_ROM240358_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
148538480,5 bedroom detached house for sale,"£1,000,000","Oxlease Meadows, Romsey, Hampshire",https://www.rightmove.co.uk/properties/148538480#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/148538480/8764_ROM240314_IMG_15_0001_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
147447050,5 bedroom detached house for sale,"£875,000","Abbess Close, Romsey, Hampshire",https://www.rightmove.co.uk/properties/147447050#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/147447050/8764_ROM240231_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
147197999,4 bedroom detached house for sale,"£875,000","Cupernham Lane, Romsey, Hampshire",https://www.rightmove.co.uk/properties/147197999#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/147197999/8764_ROM240191_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
151006877,4 bedroom detached bungalow for sale,"£850,000","Whinwhistle Road, East Wellow, Romsey, Hampshire",https://www.rightmove.co.uk/properties/151006877#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/151006877/8764_ROM240444_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
143293808,5 bedroom detached house for sale,"£800,000","Tithe Mead, Romsey, Hampshire",https://www.rightmove.co.uk/properties/143293808#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/143293808/8764_ROM230347_IMG_16_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
148871330,4 bedroom detached house for sale,"£800,000","Newtown Road, Awbridge, Romsey, Hampshire",https://www.rightmove.co.uk/properties/148871330#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/148871330/8764_ROM240266_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
148454312,4 bedroom detached house for sale,"£800,000","Butteridge Rise, Awbridge, Romsey, Hampshire",https://www.rightmove.co.uk/properties/148454312#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/148454312/8764_ROM230259_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
86937615,5 bedroom detached house for sale,"£800,000","Sequoia Lane, Braishfield, Romsey, Hampshire",https://www.rightmove.co.uk/properties/86937615#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/86937615/8764_ROM240394_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
150602927,4 bedroom detached bungalow for sale,"£800,000","Canada Common, West Wellow, Romsey, Hampshire",https://www.rightmove.co.uk/properties/150602927#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/150602927/8764_ROM240409_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
144063443,4 bedroom detached house for sale,"£800,000","The Frenches, East Wellow, Romsey, Hampshire",https://www.rightmove.co.uk/properties/144063443#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/144063443/8764_ROM240031_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
149560703,5 bedroom detached house for sale,"£800,000","Newtown Road, Awbridge, Romsey, Hampshire",https://www.rightmove.co.uk/properties/149560703#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/149560703/8764_ROM230587_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
150406223,4 bedroom detached house for sale,"£795,000","Winchester Hill, Romsey, Hampshire",https://www.rightmove.co.uk/properties/150406223#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/150406223/8764_ROM240107_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
144727718,6 bedroom detached house for sale,"£750,000","Tate Close, Romsey, Hampshire",https://www.rightmove.co.uk/properties/144727718#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/144727718/8764_ROM240097_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
148050929,4 bedroom house for sale,"£750,000","Danes Road, Awbridge, Romsey, Hampshire",https://www.rightmove.co.uk/properties/148050929#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/148050929/8764_ROM240217_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
144059036,4 bedroom detached house for sale,"£750,000","Winchester Hill, Romsey, Hampshire",https://www.rightmove.co.uk/properties/144059036#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/144059036/8764_ROM240061_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
147813560,6 bedroom detached house for sale,"£750,000","Foster Way, Romsey, Hampshire",https://www.rightmove.co.uk/properties/147813560#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/147813560/8764_ROM240220_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
144969308,5 bedroom detached house for sale,"£750,000","Magnolia Walk, Romsey, Hampshire",https://www.rightmove.co.uk/properties/144969308#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/144969308/8764_ROM240065_IMG_22_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
150824006,5 bedroom detached house for sale,"£750,000","Richmond Lane, Romsey, Hampshire",https://www.rightmove.co.uk/properties/150824006#/?channel=RES_BUY,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8764/150824006/8764_ROM240421_IMG_00_0000_max_476x317.jpeg,N/A,N,NULL,N,NULL,0
