slug,title,bedrooms,bathrooms,numberOfImages,numberOfFloorplans,numberOfVirtualTours,summary,displayAddress,countryCode,location,propertyImages,propertySubType,listingUpdateReason,listingUpdateDate,premiumListing,featuredProperty,displayPrice,displayPriceQualifier,propertyType,customerSegment,availableFrom,letAgreed,branchId,propertyUrl,shortDescription,longDescription,commercial,residential,newHome,auction
148490561,"East Dean Road, Lockerley, Romsey, Hampshire",3,2,16,1,0,Neatly set back from the road this spacious three bedroom semi-detached house boasts a delightful garden and off road parking.,"East Dean Road, Lockerley, Romsey, Hampshire",GB,"{'latitude': 51.03831, 'longitude': -1.58947}",https://media.rightmove.co.uk/9k/8764/148490561/8764_ROM240148_IMG_00_0000.jpeg,Semi-Detached,price_reduced,2024-07-24T14:40:24Z,True,True,"£525,000",Guide Price,3 bedroom semi-detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/148490561#/?channel=RES_BUY,,Neatly set back from the road this spacious three bedroom semi-detached house boasts a delightful garden and off road parking.,False,True,False,False
145499750,"Belbins, Romsey, Hampshire",4,3,29,1,0,"We are pleased to welcome to the market this stunning four bedroom detached property offering spectacular South West views over the Hampshire countryside. Other features include a self-contained ground floor annex area, triple garage, large plot approaching half an acre, en-suites and a large office","Belbins, Romsey, Hampshire",GB,"{'latitude': 51.01131, 'longitude': -1.49164}",https://media.rightmove.co.uk/9k/8764/145499750/8764_ROM220428_IMG_00_0000.jpeg,Detached,new,2024-03-07T17:47:05Z,True,False,"£1,500,000",,4 bedroom detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/145499750#/?channel=RES_BUY,,"We are pleased to welcome to the market this stunning four bedroom detached property offering spectacular South West views over the Hampshire countryside. Other features include a self-contained ground floor annex area, triple garage, large plot approaching half an acre, en-suites and a large office",False,True,False,False
150269429,"Canada Road, West Wellow, Romsey, Hampshire",4,2,21,1,1,Detached House set in delightful gardens/paddocks extending to 3.5 acres with gated access to Canada Common. The property has several outbuildings and house has a good frontage providing space for many vehicles. The plot for the house is 0.9 of an acre. Viewing is recommended.,"Canada Road, West Wellow, Romsey, Hampshire",GB,"{'latitude': 50.9589, 'longitude': -1.58861}",https://media.rightmove.co.uk/9k/8764/150269429/8764_ROM240358_IMG_00_0000.jpeg,Detached,new,2024-07-15T18:04:03Z,True,False,"£1,100,000",Offers in Excess of,4 bedroom detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/150269429#/?channel=RES_BUY,,Detached House set in delightful gardens/paddocks extending to 3.5 acres with gated access to Canada Common. The property has several outbuildings and house has a good frontage providing space for many vehicles. The plot for the house is 0.9 of an acre. Viewing is recommended.,False,True,False,False
148538480,"Oxlease Meadows, Romsey, Hampshire",5,3,15,1,0,"Located in the exclusive Oxlease Meadows development this beautifully presented five bedroom detached home boasts an impressive garden, double garage, ample off road parking and spacious accommodation.","Oxlease Meadows, Romsey, Hampshire",GB,"{'latitude': 51.00185, 'longitude': -1.48718}",https://media.rightmove.co.uk/9k/8764/148538480/8764_ROM240314_IMG_15_0001.jpeg,Detached,price_reduced,2024-07-29T11:26:25Z,True,False,"£1,000,000",Offers in Excess of,5 bedroom detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/148538480#/?channel=RES_BUY,,"Located in the exclusive Oxlease Meadows development this beautifully presented five bedroom detached home boasts an impressive garden, double garage, ample off road parking and spacious accommodation.",False,True,False,False
147197999,"Cupernham Lane, Romsey, Hampshire",4,0,14,1,0,We are delighted to welcome to the market this beautiful detached four bedroom house in a sought after position in Romsey with ample off street parking and large secluded garden.,"Cupernham Lane, Romsey, Hampshire",GB,"{'latitude': 50.99428, 'longitude': -1.48442}",https://media.rightmove.co.uk/9k/8764/147197999/8764_ROM240191_IMG_00_0000.jpeg,Detached,new,2024-04-24T09:38:35Z,True,False,"£875,000",,4 bedroom detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/147197999#/?channel=RES_BUY,,We are delighted to welcome to the market this beautiful detached four bedroom house in a sought after position in Romsey with ample off street parking and large secluded garden.,False,True,False,False
147447050,"Abbess Close, Romsey, Hampshire",5,3,13,1,0,"We are pleased to welcome to the market this impressive five bedroom detached house boasting a delightful outlook, double garage, ample off road parking, spacious entrance hall, utility room, downstairs cloakroom, study, separate dining room/snug and two en-suites. ","Abbess Close, Romsey, Hampshire",GB,"{'latitude': 51.00792, 'longitude': -1.477}",https://media.rightmove.co.uk/9k/8764/147447050/8764_ROM240231_IMG_00_0000.jpeg,Detached,new,2024-04-30T18:02:04Z,True,False,"£875,000",Offers in Excess of,5 bedroom detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/147447050#/?channel=RES_BUY,,"We are pleased to welcome to the market this impressive five bedroom detached house boasting a delightful outlook, double garage, ample off road parking, spacious entrance hall, utility room, downstairs cloakroom, study, separate dining room/snug and two en-suites. ",False,True,False,False
151006877,"Whinwhistle Road, East Wellow, Romsey, Hampshire",4,2,18,1,0,This delightful detached four bedroom bungalow located in a popular position in East Wellow situated down a private track on a 0.67 acre plot.,"Whinwhistle Road, East Wellow, Romsey, Hampshire",GB,"{'latitude': 50.96619, 'longitude': -1.56462}",https://media.rightmove.co.uk/9k/8764/151006877/8764_ROM240444_IMG_00_0000.jpeg,Detached Bungalow,new,2024-08-05T17:50:02Z,False,False,"£850,000",,4 bedroom detached bungalow for sale,,,False,8764,https://www.rightmove.co.uk/properties/151006877#/?channel=RES_BUY,,This delightful detached four bedroom bungalow located in a popular position in East Wellow situated down a private track on a 0.67 acre plot.,False,True,False,False
143293808,"Tithe Mead, Romsey, Hampshire",5,3,18,1,0,We are pleased to welcome to the market this beautiful five bedroom detached house located in the popular Fishlake Meadows including double garage and secluded rear garden.,"Tithe Mead, Romsey, Hampshire",GB,"{'latitude': 50.99781, 'longitude': -1.48951}",https://media.rightmove.co.uk/9k/8764/143293808/8764_ROM230347_IMG_16_0000.jpeg,Detached,new,2024-06-03T09:42:23Z,True,False,"£800,000",Offers in Excess of,5 bedroom detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/143293808#/?channel=RES_BUY,,We are pleased to welcome to the market this beautiful five bedroom detached house located in the popular Fishlake Meadows including double garage and secluded rear garden.,False,True,False,False
150602927,"Canada Common, West Wellow, Romsey, Hampshire",4,0,18,1,0,VIEWING EVENT SATURDAY 10th August. Please call for an appointment. Michael Rhodes are delighted to welcome this rare opporunity to purchase three bedroom detached bungalow overlooking the desirable Canada Common on a plot of 0.46 acre.,"Canada Common, West Wellow, Romsey, Hampshire",GB,"{'latitude': 50.95724, 'longitude': -1.59147}",https://media.rightmove.co.uk/9k/8764/150602927/8764_ROM240409_IMG_00_0000.jpeg,Detached Bungalow,new,2024-07-24T16:13:04Z,False,False,"£800,000",Offers in Excess of,4 bedroom detached bungalow for sale,,,False,8764,https://www.rightmove.co.uk/properties/150602927#/?channel=RES_BUY,,VIEWING EVENT SATURDAY 10th August. Please call for an appointment. Michael Rhodes are delighted to welcome this rare opporunity to purchase three bedroom detached bungalow overlooking the desirable Canada Common on a plot of 0.46 acre.,False,True,False,False
144063443,"The Frenches, East Wellow, Romsey, Hampshire",4,2,20,1,0,"We are pleased to welcome to the market this four bedroom detached house located in delightful countryside position. Garage, private garden, spacious timber cabin and ample off road parking.","The Frenches, East Wellow, Romsey, Hampshire",GB,"{'latitude': 50.99801, 'longitude': -1.56033}",https://media.rightmove.co.uk/9k/8764/144063443/8764_ROM240031_IMG_00_0000.jpeg,Detached,price_reduced,2024-03-15T09:42:11Z,True,False,"£800,000",,4 bedroom detached house for sale,,,False,8764,https://www.rightmove.co.uk/properties/144063443#/?channel=RES_BUY,,"We are pleased to welcome to the market this four bedroom detached house located in delightful countryside position. Garage, private garden, spacious timber cabin and ample off road parking.",False,True,False,False
